employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
75269,Operations,region_15,Master's & above,f,sourcing,2,42,3,13,0,0,55,0
75270,Analytics,region_31,Master's & above,m,sourcing,2,33,4,7,0,0,89,0
75271,Operations,region_15,Bachelor's,f,sourcing,1,35,3,10,0,0,57,0
75274,Operations,region_13,Bachelor's,f,sourcing,1,30,5,5,1,0,59,0
75275,Technology,region_22,Master's & above,f,other,1,34,3,9,1,0,78,1
75276,Procurement,region_13,Bachelor's,m,sourcing,2,33,3,4,1,0,72,0
75277,Procurement,region_24,Master's & above,f,sourcing,2,32,2,6,0,0,74,0
75279,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,26,1,4,0,0,50,0
75282,Analytics,region_30,Bachelor's,m,sourcing,1,27,5,5,1,0,82,1
75285,Analytics,region_2,Bachelor's,m,sourcing,1,41,3,13,1,0,82,0
75286,Finance,region_2,Bachelor's,f,sourcing,1,53,5,25,0,0,62,0
75289,Analytics,region_16,Bachelor's,m,other,1,38,3,9,0,0,83,0
75290,Sales & Marketing,region_28,Master's & above,f,sourcing,1,32,3,9,0,0,49,0
75292,Technology,region_2,Master's & above,f,other,2,32,5,7,1,0,77,0
75293,Analytics,region_30,Bachelor's,m,other,1,30,5,3,1,0,86,0
75296,Analytics,region_22,Bachelor's,f,other,2,28,4,3,1,0,85,1
75298,Operations,region_4,Bachelor's,f,other,1,43,3,6,0,0,56,0
75299,Technology,region_2,Master's & above,m,sourcing,4,40,3,11,1,0,79,0
75302,HR,region_2,Bachelor's,m,other,1,26,3,3,0,0,54,0
75305,Sales & Marketing,region_32,Bachelor's,f,other,1,29,3,3,0,0,49,0
75306,Operations,region_6,Bachelor's,f,other,1,30,5,3,0,0,63,0
75307,Technology,region_16,Bachelor's,f,sourcing,1,30,3,1,0,0,78,0
75308,Technology,region_22,Bachelor's,m,referred,5,26,5,2,1,0,81,0
75310,R&D,region_16,Master's & above,m,other,1,29,5,4,1,0,80,0
75311,Operations,region_14,Bachelor's,f,other,1,38,3,3,0,0,60,0
75312,Procurement,region_31,Master's & above,m,other,2,40,3,10,0,0,65,0
75313,Analytics,region_2,Bachelor's,m,other,1,31,4,3,0,0,82,0
75314,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,46,4,14,0,0,50,0
75315,Technology,region_14,Bachelor's,m,other,1,55,4,6,1,0,76,0
75316,R&D,region_25,Bachelor's,m,sourcing,1,31,5,5,1,0,82,1
75317,Procurement,region_13,Bachelor's,f,sourcing,1,31,3,2,0,0,67,0
75319,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,28,3,7,0,0,49,0
75320,Analytics,region_22,Bachelor's,f,sourcing,2,28,5,5,1,0,89,1
75321,Operations,region_23,Master's & above,m,sourcing,1,40,5,9,0,0,61,0
75322,Sales & Marketing,region_16,Bachelor's,m,other,1,34,4,4,0,0,53,0
75323,Sales & Marketing,region_13,Bachelor's,f,other,1,30,5,3,1,0,53,0
75325,Sales & Marketing,region_1,Bachelor's,m,other,1,29,5,5,0,0,54,0
75328,Sales & Marketing,region_24,Bachelor's,m,sourcing,1,25,3,2,0,0,47,0
75330,Technology,region_16,Bachelor's,f,other,1,45,3,18,0,0,82,0
75331,Technology,region_22,Bachelor's,m,sourcing,1,30,5,4,1,0,81,0
75332,Sales & Marketing,region_2,Master's & above,f,sourcing,1,33,1,6,0,0,49,0
75333,Sales & Marketing,region_4,Master's & above,m,other,1,35,5,4,1,0,47,0
75334,Sales & Marketing,region_11,Master's & above,m,sourcing,1,34,1,4,0,0,51,0
75337,Technology,region_7,Master's & above,f,other,1,40,3,4,0,0,78,0
75338,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,36,1,9,0,0,53,0
75339,Operations,region_12,Bachelor's,m,other,1,29,4,4,0,0,64,0
75342,Sales & Marketing,region_2,Bachelor's,f,other,1,43,3,10,1,0,49,1
75344,Sales & Marketing,region_4,Master's & above,m,other,1,31,4,6,0,0,50,0
75345,Procurement,region_19,Bachelor's,m,sourcing,1,33,2,4,0,0,69,0
75349,Procurement,region_7,Master's & above,m,sourcing,1,47,3,16,0,0,63,0
75350,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,41,5,4,1,0,50,0
75351,Operations,region_7,Bachelor's,f,other,1,50,3,2,0,0,59,0
75352,Finance,region_11,Bachelor's,m,other,1,31,3,6,0,0,63,0
75354,Analytics,region_7,Bachelor's,m,sourcing,1,41,5,5,0,0,82,0
75355,Sales & Marketing,region_22,Master's & above,f,other,1,32,3,5,0,0,54,0
75356,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,35,2,2,0,0,48,0
75357,Technology,region_22,Bachelor's,m,sourcing,1,26,3,3,0,0,85,0
75358,Analytics,region_27,Bachelor's,m,sourcing,1,32,4,4,0,0,83,0
75361,Operations,region_22,Bachelor's,m,sourcing,1,41,3,7,0,0,70,0
75362,Procurement,region_2,Bachelor's,m,sourcing,1,35,5,3,1,0,70,0
75363,Analytics,region_2,Bachelor's,m,other,1,39,4,7,0,0,79,0
75364,Sales & Marketing,region_29,Bachelor's,m,other,1,27,3,3,0,0,51,0
75366,Technology,region_5,Bachelor's,m,other,1,26,4,2,0,0,76,0
75368,Sales & Marketing,region_8,Bachelor's,m,sourcing,1,27,2,4,0,0,52,0
75370,Sales & Marketing,region_6,Bachelor's,m,other,1,37,3,10,0,0,47,0
75371,Operations,region_16,Master's & above,f,sourcing,1,32,3,6,0,0,56,0
75373,Technology,region_2,Bachelor's,f,other,1,30,1,3,0,0,76,0
75375,Operations,region_22,Bachelor's,m,other,3,32,3,3,0,0,57,0
75378,Procurement,region_31,Bachelor's,f,other,1,25,1,2,0,0,72,0
75379,Operations,region_2,Master's & above,f,other,1,45,4,18,0,0,60,0
75380,Sales & Marketing,region_15,Bachelor's,m,other,1,35,3,6,0,0,49,0
75381,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,42,3,7,0,0,48,0
75382,Procurement,region_4,Master's & above,f,other,1,34,1,8,0,0,67,0
75384,HR,region_22,Bachelor's,m,other,1,26,2,3,1,0,48,0
75385,Operations,region_11,Bachelor's,m,other,1,37,3,10,1,0,55,0
75387,Analytics,region_26,Bachelor's,f,sourcing,1,29,1,3,0,0,85,0
75390,Operations,region_22,Bachelor's,m,other,2,32,4,9,1,0,56,0
75392,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,30,4,4,1,0,48,0
75393,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,37,3,3,0,0,51,0
75394,Analytics,region_32,Bachelor's,f,other,1,28,5,3,0,0,83,0
75396,Operations,region_21,Bachelor's,m,other,2,30,5,7,1,0,59,0
75399,Operations,region_2,Bachelor's,m,other,1,59,5,7,1,0,64,0
75400,Operations,region_2,Bachelor's,f,other,2,36,4,5,1,0,60,0
75401,Procurement,region_2,Bachelor's,f,other,1,32,3,5,1,0,69,1
75405,Procurement,region_23,Master's & above,m,other,1,37,5,5,0,0,85,1
75406,Operations,region_13,Bachelor's,f,other,1,35,4,8,0,0,58,0
75407,Procurement,region_15,Master's & above,m,sourcing,1,37,4,9,1,0,70,0
75408,HR,region_8,Bachelor's,f,sourcing,1,28,1,4,0,0,50,0
75409,Technology,region_8,Master's & above,m,sourcing,1,36,4,6,1,0,76,0
75410,HR,region_28,Bachelor's,m,sourcing,1,34,5,4,0,0,51,0
75411,Sales & Marketing,region_22,Master's & above,m,other,1,42,3,13,0,0,45,0
75412,Procurement,region_22,Master's & above,m,other,1,43,3,19,0,0,71,0
75415,Sales & Marketing,region_9,Bachelor's,m,sourcing,1,26,3,3,0,0,46,0
75418,Analytics,region_25,Bachelor's,m,other,1,32,4,8,1,0,85,0
75419,Sales & Marketing,region_2,Master's & above,m,other,4,45,1,3,1,0,48,0
75422,Operations,region_20,Bachelor's,m,sourcing,1,31,1,3,0,0,63,0
75423,Sales & Marketing,region_9,Bachelor's,m,other,1,24,4,2,1,0,44,0
75425,Sales & Marketing,region_26,Bachelor's,m,other,3,24,3,2,0,0,48,0
75426,R&D,region_22,Bachelor's,m,sourcing,1,26,5,3,1,0,89,0
75427,Operations,region_22,Bachelor's,f,other,1,35,5,3,0,0,63,0
75429,Sales & Marketing,region_13,Master's & above,f,sourcing,2,35,5,8,0,0,90,1
75430,Procurement,region_22,Bachelor's,f,other,1,33,3,7,0,0,67,0
75434,Analytics,region_22,Bachelor's,m,other,1,27,4,4,0,0,83,0
75435,Sales & Marketing,region_2,Bachelor's,f,sourcing,2,55,1,2,0,0,55,0
75436,Sales & Marketing,region_14,Bachelor's,m,sourcing,3,25,1,2,0,0,48,0
75437,Operations,region_22,Bachelor's,m,other,1,34,5,10,1,0,63,0
75443,Sales & Marketing,region_31,Master's & above,f,other,1,43,5,6,1,0,48,0
75444,Technology,region_2,Bachelor's,f,other,1,58,4,19,0,0,91,1
75447,Operations,region_2,Master's & above,f,referred,1,43,4,10,0,0,59,0
75449,Operations,region_26,Bachelor's,m,sourcing,2,28,1,2,0,0,60,0
75450,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,28,3,3,1,0,50,1
75451,Operations,region_12,Bachelor's,f,sourcing,1,44,5,7,0,0,67,0
75452,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,30,3,9,0,0,49,0
75454,Procurement,region_13,Bachelor's,f,other,1,40,5,4,1,0,69,0
75455,Sales & Marketing,region_22,Bachelor's,m,other,5,32,3,3,0,0,52,0
75456,Sales & Marketing,region_19,Bachelor's,m,sourcing,2,48,5,6,1,0,52,0
75458,Sales & Marketing,region_2,Master's & above,f,sourcing,1,38,3,9,0,0,50,0
75460,Operations,region_4,Bachelor's,m,other,1,42,3,14,0,0,62,0
75461,Sales & Marketing,region_2,Bachelor's,m,other,1,35,2,7,0,0,49,0
75462,Operations,region_27,Bachelor's,m,other,1,34,4,8,1,0,58,0
75463,Sales & Marketing,region_10,Master's & above,m,other,2,31,1,5,0,0,49,0
75468,R&D,region_4,Master's & above,m,other,1,34,4,9,0,0,78,0
75470,Sales & Marketing,region_22,Master's & above,m,other,1,33,4,5,0,0,54,0
75472,Analytics,region_13,Bachelor's,m,other,1,39,5,4,1,0,83,0
75474,Technology,region_22,Bachelor's,f,other,1,34,3,7,0,0,81,0
75481,Sales & Marketing,region_13,Bachelor's,m,other,3,25,2,2,0,0,52,0
75482,Operations,region_4,Bachelor's,m,other,1,26,5,3,0,0,56,0
75484,Operations,region_5,Bachelor's,m,other,1,32,3,4,0,0,64,0
75485,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,29,4,2,0,0,46,0
75487,Technology,region_13,Bachelor's,m,sourcing,1,52,4,8,0,0,78,0
75488,Finance,region_32,Bachelor's,m,other,1,37,4,11,0,0,61,0
75490,Procurement,region_2,Bachelor's,m,other,1,31,5,7,0,0,85,1
75493,Analytics,region_30,Bachelor's,m,other,1,32,5,3,1,0,82,0
75495,Technology,region_7,Master's & above,f,sourcing,1,45,3,3,0,0,82,0
75496,Analytics,region_22,Bachelor's,m,other,1,28,3,5,1,0,85,0
75497,HR,region_2,Bachelor's,f,other,1,46,3,3,0,0,54,0
75498,Sales & Marketing,region_2,Bachelor's,m,referred,1,42,3,11,1,0,47,0
75500,Technology,region_30,Bachelor's,m,sourcing,1,36,3,8,0,0,80,0
75501,Sales & Marketing,region_28,Bachelor's,m,other,1,24,3,1,0,0,46,0
75502,Sales & Marketing,region_2,Bachelor's,f,other,1,36,5,12,0,0,47,0
75503,Sales & Marketing,region_7,Master's & above,m,sourcing,1,34,2,8,0,0,52,0
75504,HR,region_31,Bachelor's,m,other,1,26,3,4,0,0,52,0
75508,Finance,region_31,Bachelor's,m,other,1,26,3,2,0,0,63,0
75510,Operations,region_2,Bachelor's,f,sourcing,1,43,3,15,0,0,58,0
75513,Analytics,region_22,Bachelor's,f,other,1,30,5,5,0,0,86,0
75516,Procurement,region_15,Bachelor's,m,sourcing,1,28,2,6,0,0,68,0
75517,Sales & Marketing,region_22,Master's & above,m,other,1,33,5,6,1,0,43,0
75521,Sales & Marketing,region_13,Master's & above,m,other,1,48,5,6,1,0,49,0
75522,Technology,region_2,Bachelor's,m,other,1,52,5,6,1,0,82,0
75523,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,54,4,12,0,0,49,0
75524,Operations,region_10,Master's & above,m,other,1,30,3,5,0,0,54,0
75526,R&D,region_22,Bachelor's,m,sourcing,3,27,4,5,1,0,82,0
75527,Sales & Marketing,region_4,Bachelor's,m,other,1,43,5,4,0,0,49,0
75528,HR,region_2,Bachelor's,f,sourcing,1,52,4,9,0,0,50,0
75529,Operations,region_2,Bachelor's,m,sourcing,2,36,3,9,0,0,60,0
75531,Technology,region_2,Master's & above,m,sourcing,1,38,3,7,0,0,81,0
75532,HR,region_25,Master's & above,m,other,1,49,5,19,0,0,50,0
75533,Procurement,region_2,Bachelor's,m,sourcing,2,35,4,4,1,0,67,0
75534,Sales & Marketing,region_2,Master's & above,m,sourcing,2,31,3,6,0,0,52,0
75536,Sales & Marketing,region_2,Master's & above,m,sourcing,1,47,5,15,0,0,50,0
75538,Technology,region_27,Master's & above,m,sourcing,1,33,3,8,0,0,78,0
75541,Technology,region_24,Bachelor's,m,sourcing,1,34,1,2,0,0,78,0
75545,Procurement,region_31,Bachelor's,m,sourcing,1,39,3,4,1,0,68,0
75546,Operations,region_31,Bachelor's,f,sourcing,1,33,1,9,0,0,56,0
75547,Technology,region_22,Bachelor's,f,other,1,30,4,4,1,0,82,1
75548,Operations,region_15,Bachelor's,f,sourcing,3,44,5,14,1,0,54,0
75550,Finance,region_16,Bachelor's,m,other,1,31,3,5,0,0,64,0
75551,Procurement,region_2,Bachelor's,m,other,1,32,3,7,1,0,72,0
75552,Operations,region_22,Bachelor's,m,other,2,46,3,9,0,0,60,0
75553,Sales & Marketing,region_22,Bachelor's,f,other,1,35,3,9,0,0,51,0
75554,Procurement,region_15,Master's & above,f,sourcing,1,30,4,5,1,0,70,0
75555,Legal,region_22,Bachelor's,m,other,1,33,5,10,0,0,60,0
75556,Sales & Marketing,region_2,Bachelor's,m,other,1,37,1,10,1,0,51,0
75557,Operations,region_31,Bachelor's,m,sourcing,1,29,3,3,1,0,60,0
75559,Operations,region_27,Bachelor's,m,sourcing,1,37,1,3,0,0,62,0
75560,Analytics,region_22,Bachelor's,f,sourcing,2,32,3,8,0,0,85,0
75561,Analytics,region_22,Bachelor's,f,other,1,37,2,3,0,0,86,0
75562,Operations,region_7,Bachelor's,f,other,1,31,3,6,1,0,57,0
75564,Operations,region_22,Master's & above,f,other,1,47,5,18,0,0,58,0
75565,Operations,region_15,Master's & above,m,other,1,34,5,8,0,0,63,0
75566,Procurement,region_15,Bachelor's,m,sourcing,1,32,2,2,1,0,71,0
75567,Finance,region_4,Master's & above,m,other,1,35,4,3,0,0,59,0
75568,Operations,region_13,Master's & above,m,sourcing,1,44,3,15,0,0,60,0
75570,Analytics,region_15,Bachelor's,m,sourcing,1,33,3,8,0,0,84,0
75572,Technology,region_2,Bachelor's,m,other,2,34,3,6,0,0,78,0
75573,Sales & Marketing,region_2,Master's & above,f,sourcing,2,36,3,7,0,0,48,0
75574,Sales & Marketing,region_1,Bachelor's,m,other,1,36,5,9,1,0,48,0
75575,Operations,region_31,Bachelor's,m,other,2,25,3,2,0,0,60,0
75576,HR,region_2,Bachelor's,f,sourcing,1,37,3,4,0,0,51,0
75578,Sales & Marketing,region_19,Bachelor's,m,other,1,50,3,2,0,0,48,0
75579,Operations,region_23,Bachelor's,m,sourcing,1,40,5,7,1,0,62,0
75580,Sales & Marketing,region_16,Master's & above,m,other,1,45,3,3,1,0,47,0
75581,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,47,4,18,0,0,51,0
75582,HR,region_2,Master's & above,f,other,1,38,3,12,0,0,51,0
75583,Operations,region_2,Bachelor's,m,sourcing,1,52,3,14,0,0,59,0
75584,Operations,region_25,Bachelor's,f,other,1,29,4,4,1,0,59,0
75585,Sales & Marketing,region_13,Master's & above,m,sourcing,1,35,1,8,0,0,51,0
75586,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,30,2,5,0,0,53,0
75589,Technology,region_31,Master's & above,f,other,1,35,5,10,0,0,89,1
75591,Procurement,region_2,Master's & above,m,other,1,53,3,14,0,0,67,0
75592,Operations,region_22,Bachelor's,m,sourcing,1,37,4,10,0,0,63,0
75595,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,27,3,3,0,0,48,0
75596,Sales & Marketing,region_19,Bachelor's,f,sourcing,1,33,3,7,1,0,45,0
75597,Technology,region_22,Bachelor's,m,other,2,34,5,5,1,0,78,0
75598,Sales & Marketing,region_15,Master's & above,m,other,2,32,3,4,0,1,43,0
75599,Finance,region_22,Bachelor's,m,sourcing,1,31,2,2,1,0,60,1
75601,Procurement,region_2,Bachelor's,f,sourcing,1,41,3,6,1,0,70,0
75602,Procurement,region_5,Bachelor's,m,other,1,29,3,2,0,0,69,0
75603,Sales & Marketing,region_30,Bachelor's,m,other,1,37,4,2,0,0,53,0
75605,Procurement,region_34,Bachelor's,m,sourcing,1,27,3,3,0,0,69,0
75606,Technology,region_13,Master's & above,m,sourcing,1,35,4,2,1,0,80,0
75607,Operations,region_22,Bachelor's,m,other,1,33,3,6,1,0,61,0
75609,Technology,region_23,Bachelor's,m,sourcing,2,34,3,7,1,1,82,0
75610,Analytics,region_32,Bachelor's,m,other,1,29,1,3,0,0,81,0
75611,Operations,region_14,Bachelor's,m,other,1,38,5,4,1,0,60,1
75613,Operations,region_2,Bachelor's,f,other,1,30,3,3,1,0,61,0
75614,Operations,region_6,Bachelor's,f,other,1,25,5,2,1,0,62,1
75615,Operations,region_2,Bachelor's,m,other,2,38,4,11,0,0,63,0
75616,Sales & Marketing,region_32,Bachelor's,m,other,3,28,1,3,0,0,49,0
75617,Sales & Marketing,region_28,Master's & above,m,other,2,31,3,5,0,0,53,0
75618,Finance,region_2,Bachelor's,f,sourcing,2,27,1,4,0,0,63,0
75620,Operations,region_27,Bachelor's,f,other,1,31,3,5,0,0,58,0
75621,HR,region_2,Bachelor's,m,sourcing,1,51,1,5,0,0,50,0
75622,HR,region_2,Master's & above,m,sourcing,2,50,3,6,0,0,49,0
75623,Operations,region_22,Bachelor's,m,other,1,46,1,18,0,0,61,0
75627,Sales & Marketing,region_10,Bachelor's,m,other,1,26,5,2,1,0,52,0
75629,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,32,1,4,0,0,50,0
75630,Technology,region_33,Master's & above,m,sourcing,1,32,3,6,0,0,83,0
75631,Sales & Marketing,region_11,Master's & above,m,sourcing,2,39,5,10,0,0,63,1
75633,Finance,region_2,Bachelor's,m,other,1,26,4,3,0,0,57,0
75634,Technology,region_2,Master's & above,f,other,1,60,5,33,1,0,80,0
75636,Sales & Marketing,region_4,Master's & above,m,sourcing,1,49,3,17,0,0,48,0
75637,Sales & Marketing,region_1,Master's & above,m,sourcing,1,34,3,8,1,0,48,0
75638,Sales & Marketing,region_11,Master's & above,m,sourcing,2,35,3,3,0,0,48,0
75639,Analytics,region_28,Bachelor's,m,sourcing,1,28,2,3,0,0,84,0
75640,Analytics,region_32,Bachelor's,m,sourcing,1,30,3,4,0,0,82,0
75641,Procurement,region_2,Bachelor's,f,sourcing,2,30,4,2,0,0,71,0
75644,Operations,region_26,Bachelor's,f,other,1,36,3,7,0,0,60,0
75646,Sales & Marketing,region_6,Bachelor's,m,other,2,29,1,3,0,0,48,0
75648,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,42,3,13,0,0,47,0
75649,Operations,region_22,Bachelor's,m,sourcing,3,26,3,2,0,0,60,0
75650,Sales & Marketing,region_28,Bachelor's,f,sourcing,2,36,1,8,0,0,46,0
75651,Analytics,region_22,Bachelor's,m,sourcing,1,31,4,4,1,0,87,0
75654,Technology,region_5,Bachelor's,m,sourcing,1,36,2,9,0,0,82,0
75655,Operations,region_23,Master's & above,m,sourcing,2,39,5,10,1,0,64,0
75659,Operations,region_8,Bachelor's,m,sourcing,1,26,5,3,0,0,60,0
75660,Procurement,region_2,Master's & above,f,sourcing,1,41,3,11,0,0,68,0
75664,Procurement,region_22,Bachelor's,m,sourcing,2,35,5,7,1,0,69,0
75665,Operations,region_22,Bachelor's,f,sourcing,1,29,4,2,0,0,54,0
75667,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,31,3,5,1,0,45,1
75669,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,31,3,2,0,0,46,0
75670,Operations,region_2,Master's & above,m,sourcing,1,43,4,3,0,0,56,0
75671,Procurement,region_30,Bachelor's,m,sourcing,1,27,3,3,0,1,93,1
75672,Analytics,region_32,Bachelor's,m,other,1,28,2,2,0,0,87,0
75674,Legal,region_2,Bachelor's,m,other,1,41,5,9,0,0,58,0
75677,Operations,region_22,Bachelor's,f,other,1,50,5,5,1,0,59,0
75680,Sales & Marketing,region_12,Bachelor's,m,other,1,26,5,3,0,0,44,0
75682,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,32,1,8,0,0,52,0
75685,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,27,3,2,1,0,51,0
75689,Sales & Marketing,region_33,Master's & above,m,sourcing,1,31,3,6,0,0,49,0
75691,Finance,region_2,Bachelor's,m,other,1,38,4,9,0,0,61,0
75692,Finance,region_22,Bachelor's,f,other,1,28,3,2,0,0,62,0
75693,Sales & Marketing,region_16,Bachelor's,m,other,2,26,5,5,0,0,43,0
75694,Finance,region_7,Master's & above,m,other,1,35,1,8,0,0,58,0
75695,Technology,region_2,Bachelor's,f,other,1,29,4,5,1,0,78,0
75696,HR,region_2,Bachelor's,f,other,1,30,3,2,0,0,46,0
75697,Sales & Marketing,region_23,Bachelor's,m,other,1,27,4,3,0,0,53,0
75700,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,39,4,4,0,0,51,0
75706,Sales & Marketing,region_20,Bachelor's,m,other,3,28,3,5,1,1,51,0
75708,Sales & Marketing,region_7,Master's & above,f,other,1,45,3,17,1,0,92,1
75710,R&D,region_22,Master's & above,m,sourcing,2,36,4,12,0,0,85,0
75711,Sales & Marketing,region_4,Master's & above,f,sourcing,1,35,1,10,0,0,48,0
75712,Sales & Marketing,region_2,Master's & above,m,sourcing,2,37,5,6,0,0,49,0
75713,Technology,region_24,Bachelor's,m,sourcing,1,26,3,1,1,0,79,0
75715,Technology,region_15,Bachelor's,f,sourcing,4,35,5,5,1,0,79,0
75717,Procurement,region_1,Bachelor's,f,other,3,29,4,3,0,0,72,0
75719,Sales & Marketing,region_17,Bachelor's,m,other,1,35,4,7,1,0,49,0
75720,Procurement,region_16,Bachelor's,m,sourcing,1,29,3,4,0,0,75,0
75721,Operations,region_15,Master's & above,m,other,1,41,5,13,1,0,64,0
75722,Technology,region_23,Master's & above,f,other,1,43,2,14,0,0,79,0
75723,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,32,2,3,0,0,51,0
75728,Procurement,region_7,Bachelor's,f,sourcing,1,41,4,7,1,1,72,0
75730,Procurement,region_17,Bachelor's,f,other,1,48,3,19,0,0,66,0
75732,Sales & Marketing,region_31,Bachelor's,f,sourcing,1,30,1,4,0,0,48,0
75733,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,29,4,2,0,0,51,0
75735,Technology,region_32,Bachelor's,f,other,2,31,3,3,1,0,78,0
75736,Analytics,region_22,Bachelor's,f,sourcing,1,28,3,3,1,0,82,1
75738,Analytics,region_14,Bachelor's,m,other,1,33,5,6,1,0,84,1
75739,Technology,region_7,Master's & above,m,other,1,55,4,24,1,0,78,0
75740,Procurement,region_19,Bachelor's,m,other,1,50,4,7,1,0,74,0
75745,R&D,region_7,Master's & above,m,other,1,37,4,10,0,0,81,0
75746,Finance,region_13,Master's & above,m,sourcing,1,40,3,6,1,0,60,0
75748,HR,region_2,Bachelor's,f,other,1,39,3,12,0,0,48,0
75749,Technology,region_33,Bachelor's,m,other,1,54,3,19,0,0,77,0
75750,Technology,region_10,Master's & above,m,other,1,37,2,8,0,0,81,0
75752,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,32,3,2,0,0,53,0
75754,Analytics,region_2,Bachelor's,m,sourcing,1,46,5,5,0,0,84,0
75755,Technology,region_6,Bachelor's,f,other,1,30,3,7,0,0,78,0
75756,Procurement,region_23,Bachelor's,m,sourcing,2,27,3,1,0,0,69,0
75757,Legal,region_2,Master's & above,f,other,1,36,5,7,0,0,58,0
75758,Operations,region_27,Bachelor's,f,sourcing,1,45,4,3,0,0,57,0
75759,Operations,region_4,Bachelor's,f,sourcing,1,39,3,5,1,0,58,1
75760,Operations,region_7,Bachelor's,m,other,1,39,3,10,0,0,57,0
75761,Operations,region_26,Bachelor's,f,other,1,39,5,10,1,0,62,0
75763,Analytics,region_2,Master's & above,m,other,1,43,3,12,0,0,84,0
75765,Sales & Marketing,region_2,Bachelor's,m,referred,1,27,5,4,1,0,51,0
75766,Sales & Marketing,region_2,Master's & above,m,other,1,54,5,10,1,0,48,1
75769,Procurement,region_8,Bachelor's,m,other,1,28,2,2,0,0,70,0
75771,Operations,region_7,Master's & above,m,other,1,33,1,2,0,0,58,0
75772,Operations,region_2,Bachelor's,m,other,1,60,4,8,1,1,61,1
75775,Procurement,region_22,Bachelor's,m,sourcing,1,34,1,10,0,0,71,0
75778,Operations,region_2,Bachelor's,m,sourcing,1,41,4,6,1,0,63,0
75780,Operations,region_22,Bachelor's,m,sourcing,1,48,5,18,0,0,57,0
75783,Technology,region_22,Bachelor's,m,sourcing,4,28,3,4,0,0,83,0
75784,Sales & Marketing,region_2,Master's & above,m,other,2,37,4,6,0,0,51,0
75785,Procurement,region_5,Bachelor's,f,other,1,27,4,1,0,0,69,0
75786,Operations,region_4,Bachelor's,m,sourcing,1,32,4,4,0,0,61,0
75789,Finance,region_26,Bachelor's,m,sourcing,1,30,3,3,0,0,63,0
75791,Legal,region_7,Bachelor's,m,sourcing,1,36,4,7,1,0,61,0
75792,Procurement,region_10,Master's & above,f,sourcing,1,31,5,3,1,0,76,0
75794,Technology,region_7,Master's & above,m,sourcing,1,32,2,4,0,0,80,0
75795,Procurement,region_2,Bachelor's,m,sourcing,2,39,3,4,1,1,70,0
75796,Finance,region_2,Master's & above,m,sourcing,1,40,4,7,0,0,60,0
75799,Technology,region_29,Bachelor's,m,other,2,29,1,3,0,0,85,0
75802,Sales & Marketing,region_28,Bachelor's,m,other,1,28,5,2,0,0,49,0
75803,Sales & Marketing,region_22,Master's & above,m,sourcing,2,49,2,3,0,0,46,0
75804,R&D,region_11,Bachelor's,m,sourcing,1,31,5,5,1,0,85,0
75805,Analytics,region_1,Bachelor's,m,sourcing,1,28,4,3,0,0,83,0
75808,Sales & Marketing,region_2,Bachelor's,f,other,1,32,4,3,1,0,50,0
75809,Sales & Marketing,region_8,Bachelor's,m,sourcing,1,27,3,4,1,0,46,0
75811,Analytics,region_7,Bachelor's,m,other,1,30,5,3,0,0,88,0
75812,Analytics,region_28,Bachelor's,m,other,1,27,3,2,1,0,89,1
75813,R&D,region_15,Bachelor's,m,other,1,29,3,5,1,0,85,0
75814,Operations,region_7,Bachelor's,f,sourcing,1,33,5,6,1,0,63,0
75815,Sales & Marketing,region_22,Bachelor's,f,other,2,30,4,5,1,0,52,0
75816,HR,region_2,Master's & above,m,other,1,47,1,20,0,0,47,0
75817,Procurement,region_22,Bachelor's,m,other,2,29,1,3,0,0,69,0
75818,Analytics,region_16,Master's & above,m,other,1,34,5,2,1,0,88,0
75819,Technology,region_2,Master's & above,f,other,1,33,3,4,1,0,80,0
75820,Sales & Marketing,region_10,Master's & above,m,other,1,53,3,14,1,0,51,0
